orth,phon,type,freq,log_freq
slit,/slit/,ANC_REG,3.333333333,1.673976434
thax,/T@ks/,ANC_REG,3.333333333,1.673976434
kleef,/klEf/,ANC_REG,3.333333333,1.673976434
krim,/krim/,ANC_REG,3.333333333,1.673976434
nisp,/nisp/,ANC_REG,3.333333333,1.673976434
plig,/plig/,ANC_REG,3.333333333,1.673976434
preld,/preld/,ANC_REG,3.333333333,1.673976434
scark,/skark/,ANC_REG,3.333333333,1.673976434
shing,/SiN/,ANC_REG,3.333333333,1.673976434
slape,/slAp/,ANC_REG,3.333333333,1.673976434
dit,/dit/,ANC_REG,3.333333333,1.673976434
chax,/C@ks/,ANC_REG,3.333333333,1.673976434
pleef,/plEf/,ANC_REG,3.333333333,1.673976434
plim,/plim/,ANC_REG,3.333333333,1.673976434
fisp,/fisp/,ANC_REG,3.333333333,1.673976434
drig,/drig/,ANC_REG,3.333333333,1.673976434
steld,/steld/,ANC_REG,3.333333333,1.673976434
plark,/plark/,ANC_REG,3.333333333,1.673976434
hing,/hiN/,ANC_REG,3.333333333,1.673976434
glape,/glAp/,ANC_REG,3.333333333,1.673976434
yit,/yit/,ANC_REG,3.333333333,1.673976434
brax,/br@ks/,ANC_REG,3.333333333,1.673976434
smeef,/smEf/,ANC_REG,3.333333333,1.673976434
drim,/drim/,ANC_REG,3.333333333,1.673976434
chisp,/Cisp/,ANC_REG,3.333333333,1.673976434
slig,/slig/,ANC_REG,3.333333333,1.673976434
freld,/freld/,ANC_REG,3.333333333,1.673976434
flark,/flark/,ANC_REG,3.333333333,1.673976434
fing,/fiN/,ANC_REG,3.333333333,1.673976434
flape,/flAp/,ANC_REG,3.333333333,1.673976434
strot,/strOt/,ANC_EXC,3.333333333,1.673976434
grell,/grEl/,ANC_EXC,3.333333333,1.673976434
wrill,/rIl/,ANC_EXC,3.333333333,1.673976434
dest,/dEst/,ANC_EXC,3.333333333,1.673976434
drace,/dro/,ANC_EXC,3.333333333,1.673976434
fank,/fank/,ANC_EXC,3.333333333,1.673976434
geam,/jem/,ANC_EXC,3.333333333,1.673976434
kipe,/kip/,ANC_EXC,3.333333333,1.673976434
nust,/nUst/,ANC_EXC,3.333333333,1.673976434
suff,/sUf/,ANC_EXC,3.333333333,1.673976434
frot,/frOt/,ANC_EXC,3.333333333,1.673976434
drell,/drEl/,ANC_EXC,3.333333333,1.673976434
prill,/prIl/,ANC_EXC,3.333333333,1.673976434
clest,/klEst/,ANC_EXC,3.333333333,1.673976434
frace,/fro/,ANC_EXC,3.333333333,1.673976434
splank,/splank/,ANC_EXC,3.333333333,1.673976434
cheam,/Cem/,ANC_EXC,3.333333333,1.673976434
fipe,/fip/,ANC_EXC,3.333333333,1.673976434
blust,/blUst/,ANC_EXC,3.333333333,1.673976434
chuff,/CUf/,ANC_EXC,3.333333333,1.673976434
shrot,/SrOt/,ANC_EXC,3.333333333,1.673976434
prell,/prEl/,ANC_EXC,3.333333333,1.673976434
brill,/brIl/,ANC_EXC,3.333333333,1.673976434
glest,/glEst/,ANC_EXC,3.333333333,1.673976434
prace,/pro/,ANC_EXC,3.333333333,1.673976434
vank,/vank/,ANC_EXC,3.333333333,1.673976434
tream,/trem/,ANC_EXC,3.333333333,1.673976434
smipe,/smip/,ANC_EXC,3.333333333,1.673976434
vust,/vUst/,ANC_EXC,3.333333333,1.673976434
vuff,/vUf/,ANC_EXC,3.333333333,1.673976434
tive,/tIv/,ANC_AMB,3.333333333,1.673976434
blome,/blOm/,ANC_AMB,3.333333333,1.673976434
clead,/kled/,ANC_AMB,3.333333333,1.673976434
frow,/frW/,ANC_AMB,3.333333333,1.673976434
grour,/grWr/,ANC_AMB,3.333333333,1.673976434
plone,/plan/,ANC_AMB,3.333333333,1.673976434
slood,/sl^d/,ANC_AMB,3.333333333,1.673976434
kive,/kIv/,ANC_AMB,3.333333333,1.673976434
clome,/klOm/,ANC_AMB,3.333333333,1.673976434
smead,/smed/,ANC_AMB,3.333333333,1.673976434
clow,/klW/,ANC_AMB,3.333333333,1.673976434
grour,/grWr/,ANC_AMB,3.333333333,1.673976434
glone,/glan/,ANC_AMB,3.333333333,1.673976434
lood,/l^d/,ANC_AMB,3.333333333,1.673976434
bive,/bIv/,ANC_AMB,3.333333333,1.673976434
flome,/flOm/,ANC_AMB,3.333333333,1.673976434
pread,/pred/,ANC_AMB,3.333333333,1.673976434
trow,/trW/,ANC_AMB,3.333333333,1.673976434
frour,/grWr/,ANC_AMB,3.333333333,1.673976434
chone,/Can/,ANC_AMB,3.333333333,1.673976434
frood,/fr^d/,ANC_AMB,3.333333333,1.673976434
