orth,phon,type
flit,/flit/,REG
glit,/glit/,REG
plit,/blit/,REG
trit,/plit/,REG
brax,/br@ks/,REG
drax,/dr@ks/,REG
prax,/pr@ks/,REG
shrax,/sr@ks/,REG
bleef,/blEf/,REG
gleef,/glEf/,REG
pleef,/plEf/,REG
preef,/prEf/,REG
blim,/blim/,REG
clim,/klim/,REG
drim,/drim/,REG
frim,/frim/,REG
bisp,/bisp/,REG
kisp,/kisp/,REG
risp,/risp/,REG
tisp,/tisp/,REG
blig,/blig/,REG
clig,/klig/,REG
flig,/flig/,REG
slig,/slig/,REG
breld,/breld/,REG
creld,/kreld/,REG
dreld,/dreld/,REG
steld,/steld/,REG
blark,/blark/,REG
crark,/krark/,REG
plark,/plark/,REG
slark,/slark/,REG
ging,/giN/,REG
jing,/jiN/,REG
ning,/niN/,REG
ting,/tiN/,REG
blape,/blAp/,REG
clape,/klAp/,REG
glape,/glAp/,REG
plape,/plAp/,REG
crot,/crOt/,EXC
drot,/drOt/,EXC
grot,/grOt/,EXC
prot,/prOt/,EXC
brell,/brEl/,EXC
crell,/krEl/,EXC
drell,/drEl/,EXC
prell,/prIl/,EXC
blill,/blIl/,EXC
brill,/brIl/,EXC
clill,/klIl/,EXC
prill,/prIl/,EXC
clest,/klEst/,EXC
glest,/glEst/,EXC
plest,/plEst/,EXC
trest,/trEst/,EXC
frace,/fro/,EXC
krace,/kro/,EXC
prace,/pro/,EXC
vrace,/vro/,EXC
lank,/l^Nk/,EXC
vank,/v^Nk/,EXC
cheam,/Cem/,EXC
fleam,/flem/,EXC
keam,/kem/,EXC
peam,/pem/,EXC
bipe,/bip/,EXC
fipe,/fip/,EXC
gipe,/gip/,EXC
nipe,/nip/,EXC
chust,/CUst/,EXC
pust,/pUst/,EXC
tust,/tUst/,EXC
vust,/vUst/,EXC
chuff,/CUf/,EXC
druff,/drUf/,EXC
vuff,/vUf/,EXC
kive,/kIv/,AMB
mive,/mIv/,AMB
pive,/pIv/,AMB
tive,/tIv/,AMB
clome,/klOm/,AMB
flome,/flOm/,AMB
grome,/grOm/,AMB
prome,/prOm/,AMB
glead,/gled/,AMB
pread,/pred/,AMB
smead,/smed/,AMB
kread,/kred/,AMB
clow,/klW/,AMB
trow,/trW/,AMB
brour,/brWr/,AMB
drour,/drWr/,AMB
prour,/prWr/,AMB
trour,/trWr/,AMB
blone,/blan/,AMB
frone,/flan/,AMB
slone,/slan/,AMB
glone,/glan/,AMB
glood,/gl^d/,AMB
klood,/kl^d/,AMB
plood,/pl^d/,AMB
