WORD,KFFRQ
A,23237
ABLE,216
ACE,15
ACHE,4
ACT,283
AD,11
ADD,88
ADS,10
AFT,5
AGE,227
AH,22
AI,1
AID,130
AIDE,9
AIM,37
AIN'T,46
AIR,257
AISLE,6
AL,24
ALE,1
ALL,3001
AM,228
AMPLE,16
AN,3747
AND,28852
ANT,6
ANTE,3
APE,3
APPLE,9
APT,15
ARC,41
ARCH,13
ARE,4393
ARM,94
ART,208
AS,7250
ASH,11
ASK,128
ASS,5
AT,5378
ATE,16
AUF,2
AUNT,22
AVE,13
AW,3
AWE,5
AX,6
AXE,6
AYE,1
BABE,8
BACK,967
BACKS,15
BAD,142
BADE,1
BADGE,5
BAFFLE,1
BAG,42
BAH,1
BAIL,7
BAIT,2
BAKE,12
BAL,1
BALD,5
BALE,5
BALL,110
BAN,7
BAND,53
BANG,7
BANK,83
BAR,82
BARD,3
BARE,29
BARGE,7
BARK,14
BARN,29
BARR,1
BARTH,5
BASE,91
BASS,16
BAST,1
BAT,18
BATCH,5
BATH,26
BATHE,4
BATS,6
BATTLE,87
BAY,57
BAYED,3
BAYOU,2
BE,6377
BEACH,61
BEAD,1
BEAM,21
BEAN,5
BEAR,57
BEARD,26
BEAST,7
BEAT,68
BEAU,2
BECK,1
BED,127
BEDE,3
BEE,11
BEECH,6
BEEF,32
BEEN,2472
BEER,34
BEG,11
BEIGE,1
BEIN,3
BEING,712
BEL,4
BELCH,2
BELL,18
BELLE,1
BELT,29
BEN,21
BENCH,35
BEND,24
BENT,34
BERNE,1
BERTH,4
BEST,351
BET,20
BETH,5
BEY,6
BEYOND,175
BIAS,8
BIB,2
BIBB,1
BIBLE,59
BID,22
BIDE,1
BIG,360
BILE,3
BILGE,2
BILL,143
BIN,9
BIND,4
BING,2
BINGE,1
BIRCH,2
BIRD,31
BIRTH,66
BISQUE,6
BIT,101
BITCH,6
BITE,10
BIZ,2
BLACK,203
BLADE,13
BLAKE,6
BLAME,34
BLAND,3
BLANK,14
BLAST,15
BLAZE,7
BLEAK,10
BLEAT,1
BLED,3
BLEED,2
BLEND,9
BLESS,9
BLEST,3
BLEW,12
BLIGHT,2
BLIMP,1
BLIND,47
BLINK,4
BLISS,4
BLITHE,2
BLITZ,3
BLOAT,8
BLOB,2
BLOC,10
BLOCK,66
BLOKE,1
BLOND,11
BLONDE,20
BLOOD,121
BLOOM,12
BLOT,6
BLOUSE,1
BLOW,33
BLOWN,9
BLUE,143
BLUFF,8
BLUNT,9
BLUR,3
BLUSH,2
BO,1
BOAR,1
BOARD,239
BOAST,8
BOAT,72
BOB,40
BOCK,1
BOG,1
BOIL,12
BOLD,21
BOLT,10
BOMB,36
BON,2
BOND,46
BONE,33
BONNE,1
BOO,1
BOOK,193
BOOM,8
BOON,3
BOOST,15
BOOT,13
BOOTH,7
BOOTS,20
BOOZE,4
BORE,24
BORN,113
BORNE,8
BOSCH,2
BOSS,20
BOTH,730
BOTTLE,76
BOUFFE,1
BOUGH,2
BOUGHT,56
BOUN,5
BOUNCE,8
BOUND,42
BOURN,1
BOUT,7
BOW,15
BOWL,23
BOX,70
BOY,242
BOYER,2
BRACE,14
BRAD,1
