orth,phon,type,freq,log_freq
vlit,/vlit/,PRO_REG,1,1
plit,/plit/,PRO_REG,1,1
trit,/trit/,PRO_REG,1,1
drit,/drit/,PRO_REG,1,1
frax,/fr@ks/,PRO_REG,1,1
drax,/dr@ks/,PRO_REG,1,1
prax,/pr@ks/,PRO_REG,1,1
shrax,/Sr@ks/,PRO_REG,1,1
bleef,/blEf/,PRO_REG,1,1
gleef,/glEf/,PRO_REG,1,1
creef,/krEf/,PRO_REG,1,1
preef,/prEf/,PRO_REG,1,1
blim,/blim/,PRO_REG,1,1
clim,/klim/,PRO_REG,1,1
shrim,/Srim/,PRO_REG,1,1
frim,/frim/,PRO_REG,1,1
bisp,/bisp/,PRO_REG,1,1
kisp,/kisp/,PRO_REG,1,1
risp,/risp/,PRO_REG,1,1
tisp,/tisp/,PRO_REG,1,1
blig,/blig/,PRO_REG,1,1
clig,/klig/,PRO_REG,1,1
flig,/flig/,PRO_REG,1,1
smig,/smig/,PRO_REG,1,1
breld,/breld/,PRO_REG,1,1
creld,/kreld/,PRO_REG,1,1
dreld,/dreld/,PRO_REG,1,1
sneld,/sneld/,PRO_REG,1,1
blark,/blark/,PRO_REG,1,1
crark,/krark/,PRO_REG,1,1
glark,/glark/,PRO_REG,1,1
slark,/slark/,PRO_REG,1,1
ging,/giN/,PRO_REG,1,1
jing,/jiN/,PRO_REG,1,1
ning,/niN/,PRO_REG,1,1
ting,/tiN/,PRO_REG,1,1
blape,/blAp/,PRO_REG,1,1
clape,/klAp/,PRO_REG,1,1
brape,/brAp/,PRO_REG,1,1
prape,/prAp/,PRO_REG,1,1
crot,/krOt/,PRO_EXC,1,1
drot,/drOt/,PRO_EXC,1,1
scrot,/skrOt/,PRO_EXC,1,1
prot,/prOt/,PRO_EXC,1,1
brell,/brEl/,PRO_EXC,1,1
guell,/gEl/,PRO_EXC,1,1
trell,/trEl/,PRO_EXC,1,1
thell,/TEl/,PRO_EXC,1,1
clill,/klIl/,PRO_EXC,1,1
thill,/TIl/,PRO_EXC,1,1
psill,/sIl/,PRO_EXC,1,1
zill,/zIl/,PRO_EXC,1,1
kest,/kEst/,PRO_EXC,1,1
grest,/grEst/,PRO_EXC,1,1
plest,/plEst/,PRO_EXC,1,1
trest,/trEst/,PRO_EXC,1,1
bloce,/blo/,PRO_EXC,1,1
krace,/kro/,PRO_EXC,1,1
clace,/klo/,PRO_EXC,1,1
vrace,/vro/,PRO_EXC,1,1
pank,/pank/,PRO_EXC,1,1
slank,/slank/,PRO_EXC,1,1
glank,/slank/,PRO_EXC,1,1
brank,/brank/,PRO_EXC,1,1
veam,/vem/,PRO_EXC,1,1
frem,/frem/,PRO_EXC,1,1
keam,/kem/,PRO_EXC,1,1
peam,/pem/,PRO_EXC,1,1
bipe,/bip/,PRO_EXC,1,1
shripe,/shrip/,PRO_EXC,1,1
gipe,/gip/,PRO_EXC,1,1
thipe,/Tip/,PRO_EXC,1,1
chust,/CUst/,PRO_EXC,1,1
pust,/pUst/,PRO_EXC,1,1
tust,/tUst/,PRO_EXC,1,1
drust,/drUst/,PRO_EXC,1,1
zuff,/zUf/,PRO_EXC,1,1
skuff,/skUf/,PRO_EXC,1,1
gluff,/glUf/,PRO_EXC,1,1
juff,/jUf/,PRO_EXC,1,1
zive,/zIv/,PRO_AMB,1,1
mive,/mIv/,PRO_AMB,1,1
pive,/pIv/,PRO_AMB,1,1
glive,/glIv/,PRO_AMB,1,1
stome,/stOm/,PRO_AMB,1,1
shome,/SOm/,PRO_AMB,1,1
grome,/grOm/,PRO_AMB,1,1
prome,/prOm/,PRO_AMB,1,1
glead,/gled/,PRO_AMB,1,1
yead,/yed/,PRO_AMB,1,1
jead,/jed/,PRO_AMB,1,1
kead,/ked/,PRO_AMB,1,1
ghow,/gW/,PRO_AMB,1,1
smow,/smW/,PRO_AMB,1,1
shrow,/SrW/,PRO_AMB,1,1
zow,/zW/,PRO_AMB,1,1
brour,/brWr/,PRO_AMB,1,1
drour,/drWr/,PRO_AMB,1,1
prour,/prWr/,PRO_AMB,1,1
clour,/klWr/,PRO_AMB,1,1
blone,/blan/,PRO_AMB,1,1
frone,/flan/,PRO_AMB,1,1
slone,/slan/,PRO_AMB,1,1
smone,/sman/,PRO_AMB,1,1
glood,/gl^d/,PRO_AMB,1,1
klood,/kl^d/,PRO_AMB,1,1
plood,/pl^d/,PRO_AMB,1,1
drood,/dr^d/,PRO_AMB,1,1
