orth,phon,type,freq,log_freq
ace,/As/,#,15,2.833213344
ache,/Ak/,#,4,1.791759469
act,/@kt/,#,283,5.65248918
add,/@d/,#,88,4.49980967
ade,/Ad/,#,1,1.098612289
aft,/@ft/,#,5,1.945910149
age,/Aj/,#,227,5.433722004
aid,/Ad/,#,130,4.882801923
aide,/Ad/,#,9,2.397895273
ail,/Al/,#,1,1.098612289
aim,/Am/,#,37,3.663561646
air,/Ar/,#,257,5.556828062
aisle,/Il/,LSTR,6,2.079441542
ale,/Al/,#,1,1.098612289
all,/ol/,#,3001,8.007367068
alps,/@lps/,#,1,1.098612289
and,/@nd/,#,28852,10.27000391
angst,/@Nst/,#,1,1.098612289
ant,/@nt/,#,6,2.079441542
ape,/Ap/,#,3,1.609437912
apt,/@pt/,#,15,2.833213344
arc,/ark/,#,41,3.761200116
arch,/arC/,#,13,2.708050201
are,/ar/,HFE,4393,8.38822281
arm,/arm/,#,94,4.564348191
art,/art/,#,208,5.347107531
ash,/@S/,#,11,2.564949357
ask,/@sk/,#,128,4.86753445
ass,/@s/,#,5,1.945910149
ate,/At/,#,16,2.890371758
aunt,/@nt/,#,22,3.17805383
awn,/on/,#,1,1.098612289
axe,/@ks/,STR,6,2.079441542
babe,/bAb/,#,8,2.302585093
back,/b@k/,#,967,6.876264612
bad,/b@d/,#,142,4.9698133
bade,/bAd/,#,1,1.098612289
badge,/b@j/,#,5,1.945910149
bag,/b@g/,HFRIC,42,3.784189634
bail,/bAl/,#,7,2.197224577
bait,/bAt/,#,2,1.386294361
bake,/bAk/,#,12,2.63905733
bakes,/bAks/,REG,1,1.098612289
bald,/bold/,#,5,1.945910149
bale,/bAl/,#,5,1.945910149
balk,/bok/,#,1,1.098612289
ball,/bol/,#,110,4.718498871
ban,/b@n/,#,7,2.197224577
band,/b@nd/,#,53,4.007333185
bane,/bAn/,#,1,1.098612289
bang,/b@N/,#,7,2.197224577
bank,/b@Nk/,#,83,4.442651256
bar,/bar/,#,82,4.430816799
bard,/bard/,#,3,1.609437912
