orth,freq,log_freq
a,23237,10.05358718
able,216,5.384495063
ace,15,2.833213344
ache,4,1.791759469
act,283,5.65248918
ad,11,2.564949357
add,88,4.49980967
ads,10,2.48490665
aft,5,1.945910149
age,227,5.433722004
ah,22,3.17805383
ai,1,1.098612289
aid,130,4.882801923
aide,9,2.397895273
aim,37,3.663561646
ain't,46,3.871201011
air,257,5.556828062
aisle,6,2.079441542
al,24,3.258096538
ale,1,1.098612289
all,3001,8.007367068
am,228,5.438079309
ample,16,2.890371758
an,3747,8.229244417
and,28852,10.27000391
ant,6,2.079441542
ante,3,1.609437912
ape,3,1.609437912
apple,9,2.397895273
apt,15,2.833213344
arc,41,3.761200116
arch,13,2.708050201
are,4393,8.38822281
arm,94,4.564348191
art,208,5.347107531
as,7250,8.889032572
ash,11,2.564949357
ask,128,4.86753445
ass,5,1.945910149
at,5378,8.590443653
ate,16,2.890371758
auf,2,1.386294361
aunt,22,3.17805383
ave,13,2.708050201
aw,3,1.609437912
awe,5,1.945910149
ax,6,2.079441542
axe,6,2.079441542
aye,1,1.098612289
babe,8,2.302585093
back,967,6.876264612
backs,15,2.833213344
bad,142,4.9698133
bade,1,1.098612289
badge,5,1.945910149
baffle,1,1.098612289
bag,42,3.784189634
bah,1,1.098612289
bail,7,2.197224577
bait,2,1.386294361
bake,12,2.63905733
bal,1,1.098612289
bald,5,1.945910149
bale,5,1.945910149
ball,110,4.718498871
ban,7,2.197224577
band,53,4.007333185
bang,7,2.197224577
bank,83,4.442651256
bar,82,4.430816799
bard,3,1.609437912
bare,29,3.433987204
barge,7,2.197224577
bark,14,2.772588722
barn,29,3.433987204
barr,1,1.098612289
barth,5,1.945910149
base,91,4.532599493
bass,16,2.890371758
bast,1,1.098612289
bat,18,2.995732274
batch,5,1.945910149
bath,26,3.33220451
bathe,4,1.791759469
bats,6,2.079441542
battle,87,4.48863637
bay,57,4.077537444
bayed,3,1.609437912
bayou,2,1.386294361
be,6377,8.760766624
beach,61,4.143134726
bead,1,1.098612289
beam,21,3.135494216
bean,5,1.945910149
bear,57,4.077537444
beard,26,3.33220451
beast,7,2.197224577
beat,68,4.248495242
